Rank,Company,Revenue USD billions,F.Y.,Employees,Market cap. USD billions,Headquarters,Founded,Industry,Refs
76,Shutterfly,2.00,2018,7500,-,"Redwood City, California",1998,Photography,
77,BMC Software,2.00,2019,6000,-,"Houston, Texas",1980,software as service,
78,Zynga,1.97,2020,2245,11.53,San Francisco,1998,Video Games,[114][115]
79,Roblox Corporation,1.91,2021,1600,16.17,San Mateo,2004,Online gaming,
80,Dropbox,1.91,2020,2760,10.47,San Francisco,2007,Cloud Storage,
81,B2W,1.86,2020,"9,050 (2019)",6.90,Rio de Janeiro,2006,Ecommerce,[116][117]
82,Grubhub,1.82,2020,2841,6.62,Chicago,2001,Online Food Ordering,[118][119]
83,Twilio,1.76,2020,4629,63.71,San Francisco,2008,Telecommunication,[120][121]
84,Stitch Fix,1.71,2020,8000,4.66,San Francisco,2009,Personalized Services,[122][123]
85,Etsy,1.70,2020,1414,25.30,New York,2002,Ecommerce,
86,Pinterest,1.69,2020,2545,45.73,San Francisco,2009,Social Media,[124][125]
87,Farfetch,1.67,2020,5441,16.96,London  Lisbon,2007,Ecommerce,[126][127]
88,Klarna,1.60,2021,4789,45.60,Stockholm,2005,Financial Services,[128][129]
89,Carsome,1.50,2022,"4,000 (2022)",2.00,"Kuala Lumpur,",2015,Internet,[130][131]
90,J2 Global,1.49,2020,"2,400 (2019)",5.43,"Los Angeles,",1995,Internet,[132]
91,ANGI Homeservices Inc.,1.47,2020,5100,7.92,Denver,1995,Internet,[133][134]
92,DocuSign,1.45,2021,5630,41.13,San Francisco,2003,Software,[135]
93,Groupon,1.42,2020,4159,1.30,Chicago,2005,Ecommerce,[136][137]
94,Vroom.com,1.36,2020,944,5.89,New York City,2003,Ecommerce,[138]
95,VK (formerly Mail.ru),1.33,2020,"6,334 (2019)",5.17,Moscow,1998,Internet,[139][140]
96,Sabre Corporation,1.33,2020,7531,4.88,Southlake,1994,Travel,[58][59]
97,"Kaplan, Inc.",1.31,2020,5500,-,"Fort Lauderdale, Florida",1938,Education,
98,Endurance International Group,1.30,2019,2500,4.00,"Burlington, Massachusetts",1998,Internet,[141]
99,GoTo,1.30,2022,5000,32.00,Jakarta,2021,"Transportation, Ecommerce",
100,Exela Technologies,1.29,2020,22000,1.20,"Irving, Texas",2017,Automation,
101,Verisign,1.27,2020,909,23.94,Reston,1995,Internet,[142][143]
102,Flexport,1.27,2020,2000,,San Francisco,2013,Software freight forwarding,
103,LogMeIn,1.26,2019,3974,4.21,Boston,2003,Software,
104,Unity Technologies,1.20,2021,5500,12.73,San Francisco,2004,Software gaming,
105,Blue Yonder,1.10,2021,5500,-,"Scottsdale, Arizona",1985,Software,
106,Craigslist,1.00,2018,1000,-,San Francisco,1995,Classifieds,[144]
107,Grab,1.00,2018,6000,-,Singapore,2012,Transportation,[145]
